TYPE,NAME,FIPS,STATE_ABBREV,LON,LAT,CE_LIVES,NZ_LIVES,CE_COST,NZ_COST
town,"Coward, SC",4517215,SC,-79.74903990308584,33.97217970591661,7.0,16.0,3172481.7675845674,7669269.905889759
CDP,"Bucksport, SC",4510000,SC,-79.1102149528366,33.67060233649344,8.0,18.0,3574165.505599151,8640314.415937815
CDP,"Fancy Gap, VA",5127296,VA,-80.6996672413573,36.67703366848715,1.0,4.0,618106.2346945071,2065223.3075212145
city,"Dublin, GA",1324376,GA,-82.92640345470332,32.53646602782919,67.0,266.0,30497187.912612226,126373344.72562939
city,"Corbin, KY",2117362,KY,-84.09989826385781,36.9321044157837,39.0,197.0,18064201.45735363,96486863.13719589
CDP,"Garden City, SC",4528455,SC,-79.0070773749403,33.59280887355676,86.0,203.0,39340413.44350992,95102910.2800128
city,"Pineville, KY",2161248,KY,-83.70018348515976,36.75660366263908,10.0,48.0,4381476.444957567,23402912.056838922
town,"Dexter, GA",1322752,GA,-83.05955811569565,32.43307405766877,2.0,10.0,1090334.5687831074,4518096.118301938
CDP,"Red Hill, SC",4559190,SC,-79.01124632598452,33.77807852030436,121.0,287.0,55522529.746383145,134222131.97052023
town,"Cadwell, GA",1312344,GA,-83.04196500432671,32.33955095670722,2.0,8.0,971079.2253224549,4023929.3553626635
city,"Middlesborough, KY",2151924,KY,-83.72244179497685,36.61324994367348,58.0,290.0,26619347.178736493,142182720.56474936
CDP,"Socastee, SC",4567390,SC,-79.00870884755662,33.687066044989166,183.0,432.0,83644490.2210572,202205156.29133373
city,"Wallins Creek, KY",2180310,KY,-83.4148013898911,36.82743668875482,1.0,4.0,400592.1321104062,2139694.816625273
town,"Harrison, GA",1336920,GA,-82.7258336189928,32.8263227789592,2.0,8.0,916183.9084913611,3796455.766073156
town,"St. Stephen, SC",4562755,SC,-79.92606007377765,33.404555204536045,15.0,35.0,6865512.86912681,16596934.227862202
city,"Loyall, KY",2148288,KY,-83.35126664833484,36.85170143186134,8.0,39.0,3575284.779085375,19096776.238380555
city,"Eastman, GA",1325552,GA,-83.17598267269865,32.1952357726315,21.0,83.0,9544213.360771576,39549028.86888606
town,"Bonneau, SC",4507525,SC,-79.95720574776432,33.30816146437515,4.0,10.0,2033011.5719921775,4914674.254937106
city,"Harlan, KY",2134732,KY,-83.31839838867722,36.84325173026025,10.0,48.0,4406513.4532144675,23536642.982878
town,"Chester, GA",1315900,GA,-83.15491224307118,32.39451555614412,7.0,27.0,3113889.523694812,12903243.254525501
town,"St. George, SC",4562530,SC,-80.58057812049468,33.18627134147896,19.0,45.0,8640299.180966754,20887365.5834827
town,"Ridgeville, SC",4560370,SC,-80.30723479317129,33.09003272910068,18.0,42.0,8197627.306420071,19817234.89893994
CDP,"Flat Lick, KY",2127730,KY,-83.75977762759072,36.835320434636756,5.0,26.0,2418574.997616577,12918407.45537508
town,"Reevesville, SC",4559380,SC,-80.64557492556199,33.20213060411961,2.0,4.0,819762.7306420071,1981723.4898939945
CDP,"Artemus, KY",2102188,KY,-83.84136491867895,36.835131440103474,3.0,17.0,1529761.2044966135,8170959.58098776
town,"Harleyville, SC",4532335,SC,-80.44783080167234,33.21262290055504,6.0,14.0,2754402.7749571437,6658590.926043821
CDP,"North Corbin, KY",2156694,KY,-84.09725276661106,36.96487182033964,10.0,51.0,4726987.158902793,25248398.836178217
CDP,"South Wallins, KY",2172255,KY,-83.404516236853,36.81543097328871,5.0,24.0,2215775.2307356843,11835186.954458538
town,"Vance, SC",4573510,SC,-80.42020796835537,33.43637573969349,2.0,4.0,704995.948352126,1704282.201308835
town,"Santee, SC",4563790,SC,-80.48507746948475,33.48018102554347,8.0,20.0,3803699.070178913,9195196.993108135
town,"Holly Hill, SC",4534360,SC,-80.41307803041306,33.32448005849593,11.0,27.0,5258777.917068475,12712756.187669974
town,"Eutawville, SC",4524100,SC,-80.34292911772994,33.397735048491505,3.0,7.0,1287027.4871079512,3111305.8791335714
town,"Elloree, SC",4523470,SC,-80.57168257585035,33.52990501132923,6.0,15.0,2951145.8303112257,7134204.563618381
town,"Bowman, SC",4507840,SC,-80.68440803508774,33.3482232807353,9.0,21.0,4074220.771290775,9849165.744773151
town,"Lane, SC",4540210,SC,-79.87967961344623,33.525094058735085,5.0,12.0,2270742.7638783595,5489374.067006364
city,"Walterboro, SC",4574275,SC,-80.67505656001251,32.900837865611884,48.0,114.0,21998332.87677826,53179549.851305336
town,"Cottageville, SC",4516990,SC,-80.48031567719995,32.936197087995176,7.0,16.0,3135592.444705677,7580092.348844529
CDP,"Bonneau Beach, SC",4507535,SC,-79.98998126518254,33.32286574012048,18.0,43.0,8279603.579484271,20015407.247929342
CDP,"Pinopolis, SC",4557175,SC,-80.03860182644529,33.22861788587748,9.0,22.0,4250469.7583788065,10275236.295100361
CDP,"Russellville, SC",4562305,SC,-79.96371971037001,33.39703950836356,4.0,10.0,1955134.112581187,4726410.5233971765
town,"Sullivan's Island, SC",4570090,SC,-79.83885207069979,32.764792622692,16.0,38.0,7451643.221535845,18013866.52313641
town,"Seabrook Island, SC",4564712,SC,-80.17374211859111,32.5826898668144,16.0,37.0,7131935.756585462,17240994.362077754
town,"Rockville, SC",4561495,SC,-80.19354833942342,32.60239288830407,1.0,3.0,545142.2158769347,1317846.1207795064
town,"Ravenel, SC",4559020,SC,-80.22722939393306,32.77679992920921,22.0,52.0,10140464.978041627,24513919.569988713
town,"Meggett, SC",4545790,SC,-80.27186927819238,32.69737378268623,11.0,27.0,5205493.3395767445,12583944.160826864
town,"Kiawah Island, SC",4538162,SC,-80.06189836640861,32.61587699409515,15.0,35.0,6861414.0554736,16587025.610412732
city,"Isle Palms, SC",4536115,SC,-79.75369583673553,32.804533955063185,38.0,89.0,17219116.157135356,41626101.905223355
town,"Hollywood, SC",4534495,SC,-80.21062146587094,32.75238585821363,43.0,101.0,19526748.243892606,47204653.52927494
city,"Folly Beach, SC",4526035,SC,-79.94942385594203,32.67129914677241,24.0,56.0,10857757.367353383,26247927.623645954
city,"Charleston, SC",4513330,SC,-79.96738189574711,32.81369618805778,1104.0,2611.0,505777209.5515055,1222683758.7947965
town,"Edisto Beach, SC",4523020,SC,-80.32349376695265,32.49215319152219,4.0,9.0,1721501.7343482152,4161619.328777388
CDP,"Jacksonboro, SC",4536250,SC,-80.4769249278342,32.771759944147675,4.0,10.0,1983825.808153657,4795770.8455434665
town,"Moncks Corner, SC",4547275,SC,-80.01107782354066,33.174181401806045,76.0,180.0,34786631.47479357,84094436.29365166
town,"Jamestown, SC",4536475,SC,-79.69459184837528,33.285875936779874,1.0,2.0,307411.02399075264,743146.3087102479
city,"Hanahan, SC",4532065,SC,-80.00334222972016,32.9305933179658,167.0,395.0,76610925.99214877,185201968.74804324
