TYPE,NAME,FIPS,STATE_ABBREV,LON,LAT,CE_LIVES,NZ_LIVES,CE_COST,NZ_COST
city,"Wiggins, MS",2880160,MS,-89.13855568618916,30.85565967863427,31.0,160.0,11273858.088844566,59687055.14976566
CDP,"Reid Hope King, TX",4861466,TX,-97.41404082188049,25.922831776185163,6.0,40.0,2296459.555195131,15231679.70563418
city,"Florence, TX",4826136,TX,-97.79279568374304,30.84046697510336,10.0,60.0,3441782.421963336,22828238.95122895
CDP,"Camp Swift, TX",4812334,TX,-97.29330549168364,30.18847313835354,52.0,324.0,18540277.269663982,122971712.86396812
CDP,"San Pedro, TX",4865620,TX,-97.58816839799367,25.981409389931834,4.0,27.0,1546476.5612200126,10257283.042275172
CDP,"Villa Pancho, TX",4875614,TX,-97.41536625129429,25.884201906940227,8.0,48.0,2738310.001257992,18162332.00342709
village,"Salado, TX",4864268,TX,-97.5265994953415,30.9483671146382,18.0,111.0,6351600.162153622,42128126.78077302
CDP,"Timberwood Park, TX",4873057,TX,-98.47788838806723,29.70568415153714,114.0,713.0,40847910.97417973,270931092.68806523
city,"Troy, TX",4873748,TX,-97.30220569437921,31.197369202185424,14.0,89.0,5078373.218893537,33683220.817396104
CDP,"Circle D-KC Estates, TX",4814986,TX,-97.2349343988675,30.161015726043736,12.0,77.0,4401062.995652442,29190839.33459513
city,"Liberty Hill, TX",4842664,TX,-97.90761920085717,30.66350780346146,9.0,56.0,3220857.198931906,21362912.8023325
CDP,"Bluetown, TX",4808908,TX,-97.81869403170428,26.072492075632947,3.0,19.0,1107533.0259865127,7345911.351704586
city,"Cibolo, TX",4814920,TX,-98.23569036877208,29.57731184556491,132.0,826.0,47283811.55038482,313618357.0782856
city,"Petal, MS",2856800,MS,-89.23590869746822,31.34768793909565,76.0,386.0,27137911.433999434,143675927.41063043
city,"Mason, TX",4846968,TX,-99.22874437438709,30.74800309352101,17.0,109.0,6258579.015614073,41511147.34965872
CDP,"McDade, TX",4845564,TX,-97.24485573788215,30.281872888507717,6.0,35.0,2014489.2047471215,13361460.805068972
city,"Lucedale, MS",2842440,MS,-88.59589621539182,30.93121523246453,21.0,106.0,7455333.40165367,39470684.51612898
city,"Temple, TX",4872176,TX,-97.38026505082362,31.1053928353471,562.0,3517.0,201469268.85051766,1336281044.7574534
city,"Copperas Cove, TX",4816624,TX,-97.91435770219549,31.11705638481938,267.0,1673.0,95823408.57905354,635565936.4766141
CDP,"Hurley, MS",2834340,MS,-88.49944183046219,30.663790576858567,11.0,56.0,3972858.8010147773,21033459.929129165
CDP,"Iglesia Antigua, TX",4835754,TX,-97.83415902665402,26.07456166961216,4.0,22.0,1284854.5865775289,8522028.392266212
town,"San Saba, TX",4865648,TX,-98.72734377455313,31.19584612716442,25.0,157.0,8985261.37355462,59596356.92419653
town,"Rogers, TX",4862924,TX,-97.22901927560864,30.929828610028345,11.0,67.0,3854563.7597325873,25566085.17679864
CDP,"Tierra Grande, TX",4872952,TX,-97.5718184800337,27.703686624559108,3.0,20.0,1127881.4017920392,7480875.602260839
CDP,"Orason, TX",4854186,TX,-97.44584270306487,26.074256763802378,1.0,7.0,409874.4269398905,2718565.6183473663
CDP,"Fruitdale, AL",0128408,AL,-88.41084030014846,31.34286011229139,1.0,6.0,409267.7247715423,2302153.915914804
city,"Schertz, TX",4866128,TX,-98.25740189440666,29.567607072637294,274.0,1713.0,98128588.86673675,650855458.0039153
city,"San Perlita, TX",4865636,TX,-97.63964828195604,26.500993972791097,5.0,29.0,1648218.440247645,10932104.295056432
city,"Nolanville, TX",4851708,TX,-97.61083494360103,31.075370424881935,37.0,229.0,13107260.929588415,86936257.96544877
city,"West Lake Hills, TX",4877632,TX,-97.80844696003376,30.292058407926053,25.0,159.0,9084096.341752892,60251897.56975547
city,"Raymondville, TX",4860836,TX,-97.77692481855328,26.47589789353523,90.0,560.0,32071947.180339094,212722939.48387587
city,"Lyford, TX",4845228,TX,-97.78942997760147,26.41466361661384,21.0,131.0,7485295.3856043825,49647563.5974785
town,"Richland Springs, TX",4861880,TX,-98.94605161730203,31.27077783735281,3.0,18.0,1031953.3444231284,6844615.56392422
city,"Morgan's Point Resort, TX",4849392,TX,-97.45882427341469,31.152147606406075,33.0,207.0,11836940.89715769,78510632.60929416
village,"Webberville, TX",4876924,TX,-97.49961123305388,30.226071695370553,3.0,22.0,1252878.5674545588,8309941.712820673
city,"Seguin, TX",4866644,TX,-97.96627168663741,29.588812289502883,209.0,1306.0,74789001.8177979,496051462.61589396
town,"Elizabeth, LA",2223235,LA,-92.79863891527481,30.866954727329905,6.0,50.0,2193265.596453191,18410178.759209476
city,"Sunset Valley, TX",4871324,TX,-97.81591333020978,30.225990305533035,6.0,37.0,2116231.083774754,14036282.057850234
city,"Kerrville, TX",4839040,TX,-99.13154034200466,30.038503311344666,186.0,1164.0,66675813.69305155,442239287.858394
city,"Little River-Academy, TX",4843066,TX,-97.35411733328007,30.988190430088327,17.0,105.0,5999863.95180095,39795173.30687209
city,"Santa Clara, TX",4865690,TX,-98.16079521871823,29.59205760814767,6.0,38.0,2191810.7653381377,14537577.845630597
town,"Primera, TX",4859540,TX,-97.75283956316967,26.223647053515286,34.0,216.0,12345650.29229585,81884738.87320048
CDP,"Sugartown, LA",2273570,LA,-93.01242407551868,30.84010888194522,1.0,5.0,223464.79661975906,1875754.062259079
village,"San Leanna, TX",4865552,TX,-97.81953236837005,30.144189817107563,4.0,25.0,1424386.3063868536,9447497.538937658
CDP,"Spring Gardens, TX",4869708,TX,-97.74187314205953,27.76152923322268,5.0,30.0,1709263.5676642244,11336997.04672519
city,"Ingram, TX",4836032,TX,-99.2380677208522,30.077304135910104,15.0,91.0,5217904.938702862,34608689.96406754
city,"Palm Valley, TX",4854798,TX,-97.75464099633271,26.201430616155093,11.0,68.0,3915608.887149167,25970977.928467397
city,"Marion, TX",4846692,TX,-98.14294110303621,29.572568305954796,9.0,57.0,3244112.485566793,21517157.660111073
city,"Killeen, TX",4839148,TX,-97.728565130904,31.075764821319147,1088.0,6802.0,389624886.10256225,2584256908.436673
city,"Harlingen, TX",4832372,TX,-97.69758245914868,26.191623679830233,531.0,3318.0,190045109.29112923,1260508258.373729
city,"Round Rock, TX",4863500,TX,-97.66698018491657,30.5239578208112,861.0,5386.0,308513353.23090434,2046270125.1122293
town,"Holland, TX",4834508,TX,-97.40327276685296,30.883831035273374,9.0,56.0,3191788.090638296,21170106.730109278
CDP,"Pitkin, LA",2260600,LA,-92.92674808853154,30.93441624353576,7.0,57.0,2528462.7913828297,21223809.852598097
town,"Combes, TX",4816204,TX,-97.72533279765746,26.243911949857246,24.0,147.0,8418413.76182924,55836638.51584379
city,"San Marcos, TX",4865600,TX,-97.93100363358768,29.876664389715366,385.0,2407.0,137883501.3690768,914537042.3763876
CDP,"Comfort, TX",4816228,TX,-98.90399878260614,29.971410792028145,21.0,130.0,7453319.366481413,49435476.91803296
CDP,"Ranchette Estates, TX",4860458,TX,-97.82203304849041,26.484403771782556,1.0,8.0,450571.17855094344,2988494.119459871
city,"Rollingwood, TX",4863008,TX,-97.78645516366072,30.273786385928485,12.0,72.0,4127813.3776925136,27378462.25569688
city,"Harker Heights, TX",4832312,TX,-97.6440123671007,31.057969329185195,227.0,1418.0,81245250.76980852,538873691.2566706
CDP,"Santa Monica, TX",4865756,TX,-97.59003153290612,26.365422885961575,1.0,4.0,238366.6880075959,1581009.7922303835
CDP,"Tierra Verde, TX",4872954,TX,-97.71738438073545,27.76157123237924,2.0,15.0,840097.2296853075,5572095.487250986
CDP,"Sebastian, TX",4866512,TX,-97.79640079318439,26.345425462600634,15.0,96.0,5523130.575785759,36633153.72241133
city,"Belton, TX",4807492,TX,-97.47917562995123,31.056151297947718,157.0,980.0,56152796.490765,372443489.71358925
town,"Iowa, LA",2237445,LA,-93.01300601933542,30.239064916667527,38.0,306.0,13523758.432469862,113517856.95301239
city,"New Braunfels, TX",4850820,TX,-98.11550697560357,29.69940648221524,500.0,3125.0,178987220.4962403,1187164828.5000172
CDP,"Harper, TX",4832456,TX,-99.24589240959106,30.29032062361157,10.0,63.0,3584221.052602021,23772988.70512272
city,"Pflugerville, TX",4857176,TX,-97.60530381148094,30.453957026140955,399.0,2496.0,142985129.87460518,948374508.0515622
CDP,"Zapata Ranch, TX",4880722,TX,-97.82430033950715,26.356971952856856,1.0,5.0,311039.458741619,2063024.9727884273
city,"Bartlett, TX",4805732,TX,-97.43239964632252,30.795065228224324,14.0,85.0,4842913.441715302,32121491.632388033
CDP,"Geronimo, TX",4829384,TX,-97.96856905602857,29.67280139099079,9.0,55.0,3159812.071515326,20958020.050663743
CDP,"Los Angeles, TX",4844062,TX,-97.78631934614742,26.494763716344398,1.0,6.0,351736.210352672,2332953.4739009314
village,"Fenton, LA",2225335,LA,-92.9164209772963,30.363765565745545,4.0,33.0,1464935.888951754,12296609.963698406
CDP,"Chilton, TX",4814692,TX,-97.06077217163923,31.284813024985247,8.0,48.0,2741216.9120873525,18181612.61064941
