TYPE,NAME,FIPS,STATE_ABBREV,LON,LAT,CE_LIVES,NZ_LIVES,CE_COST,NZ_COST
CDP,"Oakville, CA",0653196,CA,-122.40677286747912,38.43837263056449,0.0,1.0,69958.32970301335,507653.47290725313
CDP,"Olowalu, HI",1557650,HI,-156.61672197870308,20.822264067283935,0.0,1.0,100290.2331889819,524618.745426404
CDP,"East Honolulu, HI",1506290,HI,-157.7211818196242,21.297529718482753,63.0,323.0,60933654.97205204,318744274.58401066
CDP,"Rutherford, CA",0663400,CA,-122.42313632988309,38.456785285969595,0.0,1.0,161903.56302697377,1174855.180156786
CDP,"Launiupoko, HI",1544075,HI,-156.64221467565733,20.854284642211702,1.0,4.0,739946.2326748056,3870662.6949143223
CDP,"Mahinahina, HI",1547050,HI,-156.65648084993643,20.95394529558993,1.0,5.0,1021248.1062536571,5342154.297939601
CDP,"Ahuimanu, HI",1500400,HI,-157.84032962033456,21.437890456641604,11.0,57.0,10704147.815487435,55993454.38990107
CDP,"Clearlake Oaks, CA",0613966,CA,-122.65919081201771,39.02190323389072,2.0,17.0,2351599.2827312923,17064408.882153813
CDP,"Heeia, HI",1513900,HI,-157.82083103342222,21.420808457709683,6.0,32.0,5961153.616623145,31182826.404979188
CDP,"Hidden Valley Lake, CA",0633549,CA,-122.55051862345476,38.80035541960055,6.0,41.0,5663626.491813954,41098174.728077196
CDP,"Ualapu'e, HI",1570700,HI,-156.8357376695768,21.07066480040331,1.0,3.0,525912.198430027,2751049.5186994355
CDP,"Kahaluu, HI",1521200,HI,-157.84552508980707,21.457613466478563,6.0,31.0,5918346.809774188,30958903.769736208
CDP,"Lower Lake, CA",0644350,CA,-122.6085168485028,38.91182847689245,1.0,9.0,1303223.7418961346,9456858.981015116
CDP,"Wailea, HI",1576925,HI,-156.4287100412117,20.687389550482916,8.0,39.0,7404354.533245079,38732218.10745671
CDP,"Middletown, CA",0647332,CA,-122.6221028715566,38.751877999390736,1.0,10.0,1321213.0266769095,9587398.44547698
CDP,"Fern Forest, HI",1507675,HI,-155.13237641317758,19.46471946417501,1.0,6.0,1144776.3203035009,5988331.045355051
CDP,"Hawaiian Acres, HI",1512450,HI,-155.04970756669198,19.532460767529017,3.0,18.0,3323031.263103218,17382794.28443341
CDP,"Hartley, CA",0632340,CA,-121.95229575246866,38.420227750831266,3.0,18.0,2456536.777285812,17825889.091514688
CDP,"Kaneohe, HI",1528250,HI,-157.79208991827315,21.404836829237365,45.0,228.0,42973141.869854495,224792734.62563577
CDP,"Hawaiian Beaches, HI",1512500,HI,-154.92240752563637,19.542110468984415,5.0,28.0,5250560.622930479,27465710.659945764
CDP,"Allendale, CA",0600996,CA,-121.98141094272434,38.4426588695784,2.0,11.0,1535085.634626122,11139367.634079155
CDP,"Hawaiian Paradise Park, HI",1512600,HI,-154.9693742149636,19.582700714526712,15.0,75.0,14057755.36919705,73536193.41379374
CDP,"Kaneohe Station, HI",1528400,HI,-157.75097338844273,21.445604322111876,12.0,64.0,11989575.07258036,62717531.23676877
CDP,"Maunawili, HI",1550750,HI,-157.77133646906944,21.366775225426792,3.0,13.0,2446103.248511754,12795579.156741561
CDP,"Hilo, HI",1514650,HI,-155.08679246602154,19.688261176012407,56.0,287.0,54137157.09606214,283191757.89700425
CDP,"Waimanalo, HI",1578050,HI,-157.73023856056952,21.34206960810625,7.0,36.0,6852758.250705678,35846815.00761148
city,"Sebastopol, CA",0670770,CA,-122.827716757325,38.39998656745507,8.0,54.0,7404589.496708943,53731494.01099769
CDP,"Keaau, HI",1532900,HI,-155.03720658351025,19.615567161673635,3.0,15.0,2788557.703303399,14586960.23868538
CDP,"Waimanalo Beach, HI",1578200,HI,-157.69738108784173,21.32880904002972,6.0,29.0,5504955.360775702,28796450.892246887
CDP,"Kurtistown, HI",1542800,HI,-155.07212340385337,19.583323680887837,2.0,9.0,1603420.6793994545,8387502.137244094
city,"Cotati, CA",0616560,CA,-122.70914365450743,38.32789188602571,8.0,53.0,7266671.646723002,52730691.4501234
CDP,"Leilani Estates, HI",1544562,HI,-154.91574404104992,19.4658467412992,2.0,10.0,1931198.5147000297,10102109.744247464
CDP,"Mountain View, HI",1553300,HI,-155.15978125239909,19.535685319376846,5.0,26.0,4843284.432053273,25335246.730348293
city,"American Canyon, CA",0601640,CA,-122.2584959625668,38.17716609300438,21.0,143.0,19822193.018993814,143839985.45203513
CDP,"Nanawale Estates, HI",1553975,HI,-154.9116914565749,19.504244441736137,2.0,9.0,1762417.3905527187,9219214.782432295
CDP,"Eleele, HI",1507000,HI,-159.58016225632835,21.908789367975945,3.0,16.0,2935323.8982141046,15354694.988089874
CDP,"Hanapepe, HI",1511800,HI,-159.58743389213345,21.914038931111403,3.0,17.0,3243532.9075265853,16966937.96183931
CDP,"Orchidlands Estates, HI",1558775,HI,-155.01422538447386,19.556976660565677,4.0,18.0,3479581.87100797,18201711.350464873
city,"Vallejo, CA",0681666,CA,-122.23551847378573,38.11353292767785,121.0,846.0,116829411.19932227,847774047.5626427
CDP,"Kaumakani, HI",1530650,HI,-159.62377771589067,21.91885212773859,1.0,5.0,925850.079561699,4843126.710826681
CDP,"Pahoa, HI",1559900,HI,-154.94545590389978,19.496108339133652,1.0,7.0,1229166.8823771565,6429778.526262635
CDP,"Kekaha, HI",1535600,HI,-159.7142028817312,21.96869854769992,5.0,23.0,4350394.627478154,22756937.53026487
CDP,"Papaikou, HI",1561550,HI,-155.09623151062254,19.791962679790355,2.0,9.0,1625435.6086360605,8502662.349654768
CDP,"Pakala Village, HI",1560350,HI,-159.64332104231818,21.944477579510846,0.0,2.0,363246.3324039954,1900143.5047761218
city,"Vacaville, CA",0681554,CA,-121.96903046027995,38.35972350590763,98.0,682.0,94281841.53604107,684157333.244635
CDP,"Paukaa, HI",1561700,HI,-155.09496022262675,19.76245885079008,1.0,3.0,511235.57893895655,2674276.0437589865
CDP,"Volcano, HI",1572350,HI,-155.25207340062286,19.477963825670184,3.0,17.0,3166480.6551984656,16563877.21840195
city,"Suisun City, CA",0675630,CA,-122.00852486838924,38.24711826314035,30.0,206.0,28420071.73949416,206230597.27233657
CDP,"Wainaku, HI",1578950,HI,-155.09848949140437,19.74488973949902,2.0,8.0,1498238.2397134493,7837292.233504207
city,"Fairfield, CA",0623182,CA,-122.0393032424965,38.25584463871004,110.0,768.0,106139778.42070183,770204596.9024144
CDP,"Ainaloa, HI",1501085,HI,-154.9943880614301,19.521455126922696,4.0,22.0,4087438.5282631405,21381412.77091515
CDP,"Kaunakakai, HI",1531100,HI,-156.99805170899592,21.090635109247792,4.0,23.0,4247658.291040661,22219523.205681723
CDP,"Eden Roc, HI",1506325,HI,-155.09578536482988,19.49174994345249,1.0,6.0,1158229.8881703154,6058706.73071713
CDP,"Bodega Bay, CA",0607260,CA,-123.02735493586866,38.32551284605817,1.0,8.0,1080356.4915565348,7839620.060182009
CDP,"Fern Acres, HI",1507542,HI,-155.07854558238722,19.508224691512922,2.0,10.0,1849254.055874886,9673457.84249662
CDP,"Kualapuu, HI",1539500,HI,-157.05920303019593,21.156396315461787,3.0,13.0,2512148.036221571,13141059.793973584
CDP,"Maunaloa, HI",1550150,HI,-157.21221289552537,21.133634262479475,0.0,2.0,465982.66884148907,2437557.8293592674
CDP,"Occidental, CA",0653266,CA,-122.93495676302508,38.40038005022065,1.0,8.0,1119333.2752482137,8122455.56651605
CDP,"Hana, HI",1511350,HI,-156.01104710606756,20.771958311028566,2.0,8.0,1531260.6335683577,8010032.552120218
CDP,"Bloomfield, CA",0607036,CA,-122.85023774920452,38.3182852787652,0.0,2.0,335799.9825744641,2436736.669954815
CDP,"Anahola, HI",1502200,HI,-159.3155905311788,22.145211311757055,3.0,15.0,2737189.5350846527,14318253.076393807
CDP,"Halaula, HI",1509700,HI,-155.78208644645645,20.225481569965744,1.0,3.0,577280.3666487739,3019756.6809910084
CDP,"Hanalei, HI",1511500,HI,-159.49772791189477,22.20399143974917,1.0,3.0,555265.4374121681,2904596.468580335
CDP,"Bodega, CA",0607246,CA,-122.97116459113516,38.34884179616099,0.0,2.0,220868.4409195136,1602734.5358928991
CDP,"Hawaiian Ocean View, HI",1512530,HI,-155.77464440726243,19.096790051499212,6.0,29.0,5482940.431539097,28681290.679836214
CDP,"Hawi, HI",1513600,HI,-155.83055072813968,20.239119243414734,1.0,7.0,1329457.1155661382,6954397.27168904
CDP,"Sereno Mar, CA",0671000,CA,-123.07314366872484,38.38367437602856,0.0,1.0,125924.99346542406,913776.2512330557
CDP,"Holualoa, HI",1515700,HI,-155.92660717349582,19.62383700276397,11.0,56.0,10603857.582298454,55468835.64447467
CDP,"Hanamaulu, HI",1511650,HI,-159.35015031184037,21.995491236186275,5.0,25.0,4796808.47033155,25092130.7263702
CDP,"Salmon Creek, CA",0664252,CA,-123.05931387825737,38.34621498296485,0.0,1.0,85948.80506370214,623688.5524289111
CDP,"Honalo, HI",1516000,HI,-155.90197414765598,19.578741702488806,3.0,16.0,2961007.982323478,15489048.56923566
CDP,"Kalaheo, HI",1524950,HI,-159.5236210952645,21.915914874566294,6.0,31.0,5803379.957094136,30357511.549369354
CDP,"Valley Ford, CA",0681778,CA,-122.91473224007856,38.32456010863796,0.0,1.0,146912.49237632807,1066072.2931052316
CDP,"Bolinas, CA",0607316,CA,-122.70942346846263,37.917841401601,2.0,12.0,1640023.1291806418,11900847.843440035
CDP,"Kalihiwai, HI",1526750,HI,-159.44066065926896,22.21616837015466,1.0,3.0,530804.4049270506,2776640.6770129185
CDP,"Dillon Beach, CA",0619262,CA,-122.95591778899714,38.243485017233986,0.0,2.0,286829.1517823548,2081379.2389197382
CDP,"Honaunau-Napoopoo, HI",1516160,HI,-155.85857412009605,19.453870499916725,3.0,17.0,3231302.3912840267,16902960.066055603
CDP,"Kapaa, HI",1528850,HI,-159.3522396664696,22.091031343707574,14.0,71.0,13397307.492098875,70081387.04147352
CDP,"Inverness, CA",0636616,CA,-122.84744682890145,38.0813185055492,1.0,10.0,1323211.8360969955,9601902.83041719
CDP,"Honokaa, HI",1516450,HI,-155.46570503203853,20.074634861617483,3.0,15.0,2795896.0130489348,14625346.976155605
CDP,"Point Reyes Station, CA",0657960,CA,-122.8092228691738,38.08464797519615,1.0,6.0,860487.4553470644,6244137.716759214
CDP,"Honomu, HI",1517450,HI,-155.1126350368667,19.86934146245686,1.0,3.0,626202.431619009,3275668.2641258393
