TYPE,NAME,FIPS,STATE_ABBREV,LON,LAT,CE_LIVES,NZ_LIVES,CE_COST,NZ_COST
city,"De Pere, WI",5519775,WI,-88.07926406973775,44.43114246884198,193.0,718.0,69290544.04568624,269293594.0332715
city,"Bassett, IA",1904780,IA,-92.5157251904135,43.06200619769942,1.0,5.0,248790.90137519516,1799819.1011827702
village,"Winslow, IL",1782543,IL,-89.79458987507496,42.49318077494001,3.0,10.0,978827.098001996,3543117.409010612
city,"Mount Pleasant, MI",2656020,MI,-84.77575765499503,43.5965637814159,182.0,606.0,64999758.953753665,223652293.89766324
city,"East Grand Rapids, MI",2623980,MI,-85.60881339758154,42.94637090383753,75.0,250.0,26782459.043340985,92153547.9158498
village,"Richfield, WI",5567475,WI,-88.24128981765102,43.2372360569327,92.0,342.0,33006041.9196622,128276026.34348206
village,"Hancock, WI",5532450,WI,-89.52024891057337,44.133054875320774,3.0,13.0,1210729.6025248573,4705428.865609998
city,"Alta Vista, IA",1901540,IA,-92.41702668142703,43.19677087752059,3.0,18.0,958030.635146274,6930646.688136638
village,"Ashwaubenon, WI",5503425,WI,-88.08884879012557,44.47924035839048,138.0,512.0,49366708.686322324,191860788.3778176
city,"Fox Lake, WI",5527000,WI,-88.91306849665605,43.56179375435068,12.0,46.0,4443176.332306187,17268141.561442867
city,"Mahtomedi, MN",2739428,MN,-92.96618746973846,45.061686270164785,58.0,275.0,20651087.17246396,101079991.21423939
city,"Madison, WI",5548000,WI,-89.39151063388393,43.08098656861688,1908.0,7084.0,683455422.7041388,2656209006.241516
village,"Lena, IL",1742834,IL,-89.82141831295014,42.37841131892805,23.0,82.0,8276054.043106733,29957314.44082306
village,"Caledonia, MI",2612480,MI,-85.51528844675104,42.794375549072456,11.0,36.0,3850072.5446271226,13247396.146359755
city,"Clare, MI",2615920,MI,-84.76281009981965,43.824526400833314,22.0,72.0,7750308.900910624,26667396.8027698
city,"Landfall, MN",2735414,MN,-92.97729448838237,44.95028929478751,5.0,25.0,1906254.2005351346,9330460.72746825
village,"Coloma, WI",5516375,WI,-89.53166451784668,44.03845877388769,4.0,14.0,1337266.663121279,5197207.654414843
village,"Germantown, WI",5528875,WI,-88.12174143497705,43.234294490686466,160.0,593.0,57240764.86616332,222462841.1902646
CDP,"New Haven, IA",1956190,IA,-92.64218913822654,43.28392319952923,1.0,7.0,341623.327261462,2471393.3926688787
CDP,"Lake Ripley, WI",5541765,WI,-88.98287830769172,43.00448053188853,15.0,55.0,5265667.22618293,20464703.68867436
village,"Blanchardville, WI",5508125,WI,-89.86061440168422,42.809383995515724,7.0,25.0,2372569.886182915,9220852.29009085
